time,close
2010/08/02,559.22 
2010/08/03,520.45 
2010/08/04,521.31 
2010/08/05,528.20 
2010/08/06,516.81 
2010/08/09,514.18 
2010/08/10,506.30 
2010/08/11,493.16 
2010/08/12,500.17 
2010/08/13,501.92 
2010/08/16,534.33 
2010/08/17,530.83 
2010/08/18,538.71 
2010/08/19,525.57 
2010/08/20,529.95 
2010/08/23,530.83 
2010/08/24,525.57 
2010/08/25,522.94 
2010/08/26,523.82 
2010/08/27,534.33 
2010/08/30,538.71 
2010/08/31,506.30 
2010/09/01,529.08 
2010/09/02,536.96 
2010/09/03,541.34 
2010/09/06,548.35 
2010/09/07,551.85 
2010/09/08,547.47 
2010/09/09,555.35 
2010/09/10,547.47 
2010/09/13,585.14 
2010/09/14,577.25 
2010/09/15,565.87 
2010/09/16,556.23 
2010/09/17,556.23 
2010/09/20,553.60 
2010/09/21,556.23 
2010/09/23,557.11 
2010/09/24,543.09 
2010/09/27,552.73 
2010/09/28,529.08 
2010/09/29,531.70 
2010/09/30,521.19 
2010/10/01,534.33 
2010/10/04,520.32 
2010/10/05,520.32 
2010/10/06,531.70 
2010/10/07,525.57 
2010/10/08,526.45 
2010/10/11,523.82 
2010/10/12,508.93 
2010/10/13,475.64 
2010/10/14,480.90 
2010/10/15,473.02 
2010/10/18,473.02 
2010/10/19,490.53 
2010/10/20,518.56 
2010/10/21,531.70 
2010/10/22,541.34 
2010/10/25,534.33 
2010/10/26,527.32 
2010/10/27,506.30 
2010/10/28,540.46 
2010/10/29,531.70 
2010/11/01,538.71 
2010/11/02,535.21 
2010/11/03,527.32 
2010/11/04,534.33 
2010/11/05,544.84 
2010/11/08,532.58 
2010/11/09,531.70 
2010/11/10,536.08 
2010/11/11,529.95 
2010/11/12,528.20 
2010/11/15,529.08 
2010/11/16,534.33 
2010/11/17,530.83 
2010/11/18,529.95 
2010/11/19,534.33 
2010/11/22,537.84 
2010/11/23,529.95 
2010/11/24,529.95 
2010/11/25,532.58 
2010/11/26,541.34 
2010/11/29,572.00 
2010/11/30,592.14 
2010/12/01,594.77 
2010/12/02,626.31 
2010/12/03,642.07 
2010/12/06,634.19 
2010/12/07,613.17 
2010/12/08,618.42 
2010/12/09,609.66 
2010/12/10,612.29 
2010/12/13,617.55 
2010/12/14,611.42 
2010/12/15,616.67 
2010/12/16,600.03 
2010/12/17,600.03 
2010/12/20,604.41 
2010/12/21,626.31 
2010/12/22,650.83 
2010/12/23,643.83 
2010/12/24,642.07 
2010/12/27,627.18 
2010/12/28,632.44 
2010/12/29,617.55 
2010/12/30,637.69 
2010/12/31,635.07 
2011/01/03,642.95 
2011/01/04,652.59 
2011/01/05,645.58 
2011/01/06,652.59 
2011/01/07,656.97 
2011/01/10,687.62 
2011/01/11,711.27 
2011/01/12,695.51 
2011/01/13,699.01 
2011/01/14,713.90 
2011/01/17,691.13 
2011/01/18,696.38 
2011/01/19,715.65 
2011/01/20,675.36 
2011/01/21,668.35 
2011/01/24,668.35 
2011/01/25,685.00 
2011/01/26,698.14 
2011/01/27,692.88 
2011/01/28,697.26 
2011/02/08,677.99 
2011/02/09,687.62 
2011/02/10,678.86 
2011/02/11,660.47 
2011/02/14,686.75 
2011/02/15,695.51 
2011/02/16,689.38 
2011/02/17,687.62 
2011/02/18,698.14 
2011/02/21,696.38 
2011/02/22,683.24 
2011/02/23,661.35 
2011/02/24,683.24 
2011/02/25,710.40 
2011/03/01,720.91 
2011/03/02,722.66 
2011/03/03,769.09 
2011/03/04,748.06 
2011/03/07,746.31 
2011/03/08,740.18 
2011/03/09,713.90 
2011/03/10,701.64 
2011/03/11,680.62 
2011/03/14,692.88 
2011/03/15,646.45 
2011/03/16,670.10 
2011/03/17,665.73 
2011/03/18,685.00 
2011/03/21,680.62 
2011/03/22,694.63 
2011/03/23,688.50 
2011/03/24,686.75 
2011/03/25,692.00 
2011/03/28,682.37 
2011/03/29,677.11 
2011/03/30,690.25 
2011/03/31,697.26 
2011/04/01,737.55 
2011/04/06,739.31 
2011/04/07,741.93 
2011/04/08,714.78 
2011/04/11,744.56 
2011/04/12,727.04 
2011/04/13,732.30 
2011/04/14,741.93 
2011/04/15,746.31 
2011/04/18,753.32 
2011/04/19,759.45 
2011/04/20,787.48 
2011/04/21,806.75 
2011/04/22,811.13 
2011/04/25,812.89 
2011/04/26,795.37 
2011/04/27,799.75 
2011/04/28,803.25 
2011/04/29,796.24 
2011/05/03,778.72 
2011/05/04,800.62 
2011/05/05,817.27 
2011/05/06,797.12 
2011/05/09,796.24 
2011/05/10,783.98 
2011/05/11,783.98 
2011/05/12,785.73 
2011/05/13,783.98 
2011/05/16,769.09 
2011/05/17,755.07 
2011/05/18,755.07 
2011/05/19,781.35 
2011/05/20,788.36 
2011/05/23,796.24 
2011/05/24,786.61 
2011/05/25,777.85 
2011/05/26,788.36 
2011/05/27,780.48 
2011/05/30,790.11 
2011/05/31,826.02 
2011/06/01,862.81 
2011/06/02,856.68 
2011/06/03,858.43 
2011/06/07,863.69 
2011/06/08,862.81 
2011/06/09,865.44 
2011/06/10,841.79 
2011/06/13,821.64 
2011/06/14,850.55 
2011/06/15,816.39 
2011/06/16,786.61 
2011/06/17,801.50 
2011/06/20,788.36 
2011/06/21,781.35 
2011/06/22,798.87 
2011/06/23,792.74 
2011/06/24,786.61 
2011/06/27,771.72 
2011/06/28,797.12 
2011/06/29,797.12 
2011/06/30,805.88 
2011/07/01,855.81 
2011/07/04,846.17 
2011/07/05,840.92 
2011/07/06,872.45 
2011/07/07,846.17 
2011/07/08,829.53 
2011/07/11,837.41 
2011/07/12,817.27 
2011/07/13,823.40 
2011/07/14,816.39 
2011/07/15,802.37 
2011/07/18,807.63 
2011/07/19,839.16 
2011/07/20,863.69 
2011/07/21,861.06 
2011/07/22,859.31 
2011/07/25,843.54 
2011/07/26,875.08 
2011/07/27,873.33 
2011/07/28,864.57 
2011/07/29,849.68 
2011/08/01,874.20 
2011/08/02,880.33 
2011/08/03,865.44 
2011/08/04,829.48 
2011/08/05,786.85 
2011/08/08,792.18 
2011/08/09,841.91 
2011/08/10,841.91 
2011/08/11,824.15 
2011/08/12,786.85 
2011/08/15,798.39 
2011/08/16,765.53 
2011/08/17,719.35 
2011/08/18,740.67 
2011/08/19,689.16 
2011/08/22,642.98 
2011/08/23,687.38 
2011/08/24,687.38 
2011/08/25,652.75 
2011/08/26,687.38 
2011/08/29,699.81 
2011/08/30,748.66 
2011/08/31,736.23 
2011/09/01,748.66 
2011/09/02,761.09 
2011/09/05,728.23 
2011/09/06,677.61 
2011/09/07,703.37 
2011/09/08,697.15 
2011/09/09,738.00 
2011/09/13,700.70 
2011/09/14,679.39 
2011/09/15,692.71 
2011/09/16,705.14 
2011/09/19,691.82 
2011/09/20,690.93 
2011/09/21,718.46 
2011/09/22,680.28 
2011/09/23,633.21 
2011/09/26,589.69 
2011/09/27,559.50 
2011/09/28,598.57 
2011/09/29,612.78 
2011/09/30,636.76 
2011/10/03,597.68 
2011/10/04,619.89 
2011/10/05,579.03 
2011/10/06,566.60 
2011/10/07,527.53 
2011/10/11,563.94 
2011/10/12,594.13 
2011/10/13,626.10 
2011/10/14,618.11 
2011/10/17,655.41 
2011/10/18,653.63 
2011/10/19,608.34 
2011/10/20,592.36 
2011/10/21,551.50 
2011/10/24,589.69 
2011/10/25,603.90 
2011/10/26,595.02 
2011/10/27,603.01 
2011/10/28,605.68 
2011/10/31,604.79 
2011/11/01,603.90 
2011/11/02,603.90 
2011/11/03,582.59 
2011/11/04,588.80 
2011/11/07,578.15 
2011/11/08,575.48 
2011/11/09,568.38 
2011/11/10,529.30 
2011/11/11,517.76 
2011/11/14,553.28 
2011/11/15,542.62 
2011/11/16,531.08 
2011/11/17,523.09 
2011/11/18,507.99 
2011/11/21,476.90 
2011/11/22,453.81 
2011/11/23,452.04 
2011/11/24,420.51 
2011/11/25,426.28 
2011/11/28,439.16 
2011/11/29,459.14 
2011/11/30,428.50 
2011/12/01,458.25 
2011/12/02,462.69 
2011/12/05,447.60 
2011/12/06,417.40 
2011/12/07,434.28 
2011/12/08,440.49 
2011/12/09,439.60 
2011/12/12,445.82 
2011/12/13,439.60 
2011/12/14,451.15 
2011/12/15,441.38 
2011/12/16,445.82 
2011/12/19,433.39 
2011/12/20,463.58 
2011/12/21,495.55 
2011/12/22,503.55 
2011/12/23,506.21 
2011/12/26,507.99 
2011/12/27,492.89 
2011/12/28,494.67 
2011/12/29,511.54 
2011/12/30,502.66 
2012/01/02,491.11 
2012/01/03,524.86 
2012/01/04,517.76 
2012/01/05,521.31 
2012/01/06,535.52 
2012/01/09,532.85 
2012/01/10,529.30 
2012/01/11,542.62 
2012/01/12,542.62 
2012/01/13,532.85 
2012/01/16,520.42 
2012/01/17,528.41 
2012/01/18,523.09 
2012/01/30,557.72 
2012/01/31,564.83 
2012/02/01,584.36 
2012/02/02,625.22 
2012/02/03,619.00 
2012/02/04,619.00 
2012/02/06,599.46 
2012/02/07,586.14 
2012/02/08,616.33 
2012/02/09,608.34 
2012/02/10,566.60 
2012/02/13,541.73 
2012/02/14,550.62 
2012/02/15,568.38 
2012/02/16,549.73 
2012/02/17,555.94 
2012/02/20,553.28 
